xmin,ymin,xmax,ymax
351.01454162597656,236.94983673095703,766.1061859130859,462.11193084716797
350.03224182128906,236.19903564453125,766.5136566162109,461.6876220703125
350.06884765625,233.83527374267578,767.071044921875,460.9821090698242
350.8211669921875,230.38418579101562,767.678955078125,459.9548034667969
350.27618408203125,227.51927947998047,767.7808227539062,459.4356155395508
351.37982177734375,225.46096801757812,767.8832397460938,459.5248107910156
353.33734130859375,222.886474609375,768.0628051757812,459.0413818359375
352.38165283203125,220.70962524414062,767.9409790039062,458.3949279785156
352.27870178222656,219.46478271484375,767.9000091552734,458.00970458984375
353.63165283203125,218.15231323242188,767.9115600585938,457.7183532714844
352.97003173828125,217.15628051757812,767.5117797851562,456.4856872558594
353.1806640625,214.76705932617188,766.967529296875,455.8520812988281
354.28582763671875,213.7664794921875,767.1571655273438,455.06561279296875
353.99668884277344,212.48394775390625,767.6270904541016,455.16339111328125
354.03631591796875,210.5272216796875,767.5178833007812,454.0875244140625
353.76756286621094,208.7236328125,768.4970855712891,453.63812255859375
354.30963134765625,206.61459350585938,768.7875366210938,452.9315490722656
355.16339111328125,205.29985809326172,769.1525268554688,452.3849563598633
355.78155517578125,203.1829833984375,769.3637084960938,452.132080078125
355.29551696777344,202.51290893554688,769.2738189697266,451.2886047363281
355.654052734375,202.20861053466797,769.4710693359375,451.07056427001953
355.90826416015625,201.266357421875,769.5548706054688,450.6470947265625
355.48570251464844,200.38943481445312,769.0759429931641,449.3470153808594
355.101806640625,199.8817138671875,769.0216064453125,448.43267822265625
354.68336486816406,199.63709259033203,768.8664398193359,447.7600631713867
354.76849365234375,200.11669921875,768.8131713867188,447.55438232421875
353.9833984375,200.72510528564453,768.3388671875,446.6046676635742
353.45606994628906,202.24408721923828,768.1100921630859,445.63744354248047
353.6341552734375,203.8267822265625,767.8426513671875,444.5028076171875
353.07391357421875,205.79568481445312,767.4287719726562,443.0959167480469
354.59429931640625,206.16424560546875,767.5104370117188,442.229736328125
354.20587158203125,206.03044891357422,767.6109008789062,441.6339797973633
354.04254150390625,206.13329315185547,768.3809204101562,440.1481399536133
354.60791015625,206.77765655517578,768.8814697265625,438.6051559448242
355.16912841796875,208.41968536376953,769.0642700195312,438.0494918823242
355.12550354003906,209.69223022460938,769.8078460693359,437.1904602050781
356.39398193359375,210.6766357421875,770.6171264648438,437.2366943359375
357.16656494140625,211.25167846679688,771.2139282226562,437.3661193847656
357.91290283203125,212.14755249023438,771.6122436523438,437.2477111816406
358.0098876953125,211.91961669921875,772.2208251953125,436.42816162109375
358.2298583984375,211.54415893554688,772.3892822265625,436.5249938964844
358.2220458984375,211.19610595703125,772.84033203125,436.7266845703125
358.49732971191406,210.58208465576172,772.8814544677734,436.60205841064453
358.93910217285156,210.75054931640625,773.0367279052734,436.15728759765625
359.43341064453125,211.07675170898438,772.8237915039062,435.8403625488281
359.48388671875,210.46414184570312,773.0975341796875,436.5248718261719
359.70147705078125,210.72796630859375,773.0885620117188,436.89227294921875
358.74261474609375,211.33059692382812,772.0372924804688,439.3808898925781
358.267578125,212.23443603515625,771.7086181640625,440.53387451171875
358.21893310546875,212.95008087158203,771.1825561523438,442.1306686401367
358.02667236328125,213.71654510498047,770.7460327148438,443.84595489501953
357.6536865234375,214.31060791015625,770.4783935546875,443.8614501953125
357.47552490234375,214.6065673828125,770.4805297851562,444.55511474609375
357.09185791015625,215.19488525390625,769.7047729492188,445.37225341796875
355.87120056152344,215.72185516357422,768.9591217041016,445.6343460083008
356.71142578125,216.65991973876953,768.1168212890625,446.37889862060547
356.3336181640625,217.198486328125,767.2423095703125,446.739013671875
355.14219665527344,217.5709228515625,766.7822418212891,446.63104248046875
354.37669372558594,218.2347412109375,766.3747711181641,447.822998046875
353.5086669921875,219.29501342773438,765.8486328125,448.5597839355469
